Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
datamanagement,10,0.495182058,0.65440019,0.361376447,0.427598864,,,,,,,,
duracloud,1,0.483944312,0.618762041,0.387501979,0.410522532,0.487708606,0.63112843,0.385768862,0.400561351,,,,
duracloud,1,0.46251232,0.623390885,0.375570929,0.375168805,,,,,,,,
duracloud,1,0.494865315,0.634660565,0.414929276,0.420731557,,,,,,,,
duracloud,1,0.484890262,0.616489525,0.413983575,0.412025851,,,,,,,,
duracloud,1,0.467025983,0.622544783,0.287030877,0.304190484,,,,,,,,
duracloud,1,0.48422923,0.643021673,0.405458725,0.410676927,,,,,,,,
duracloud,1,0.520778532,0.649488494,0.441571353,0.468791714,,,,,,,,
duracloud,1,0.479566767,0.632046196,0.379115328,0.397109135,,,,,,,,
duracloud,1,0.509360004,0.63105767,0.3875099,0.424065945,,,,,,,,
duracloud,1,0.489913336,0.639822465,0.365016683,0.382330563,,,,,,,,
duracloud,2,0.534777809,0.69110409,0.36979461,0.400232246,,,,,,,,
duracloud,2,0.517314902,0.68803547,0.339724124,0.3553575,,,,,,,,
duracloud,2,0.516497857,0.678593585,0.330196601,0.354850977,,,,,,,,
duracloud,2,0.51639559,0.679244828,0.38841396,0.418242278,,,,,,,,
duracloud,2,0.514367525,0.688604208,0.36765356,0.340920221,,,,,,,,
duracloud,2,0.523147376,0.6855751,0.367780044,0.369943757,,,,,,,,
duracloud,2,0.509733,0.680320601,0.397388913,0.384998615,,,,,,,,
duracloud,2,0.512173812,0.681514124,0.38548627,0.411188868,,,,,,,,
duracloud,2,0.524393261,0.69178192,0.410794812,0.447057244,,,,,,,,
duracloud,2,0.514158198,0.690745136,0.370201493,0.417947031,,,,,,,,
duracloud,3,0.547662757,0.722023313,0.392681068,0.408342042,,,,,,,,
duracloud,3,0.544409075,0.717041347,0.380732963,0.39062184,,,,,,,,
duracloud,3,0.523781399,0.718379123,0.300421282,0.316116814,,,,,,,,
duracloud,3,0.533302358,0.710931739,0.416437485,0.4608634,,,,,,,,
duracloud,3,0.524863708,0.719965107,0.354087317,0.384538139,,,,,,,,
duracloud,3,0.555976617,0.714432374,0.409982767,0.450131599,,,,,,,,
duracloud,3,0.542303961,0.724516363,0.353529889,0.370301303,,,,,,,,
duracloud,3,0.53759081,0.717589242,0.376844439,0.396453634,,,,,,,,
duracloud,3,0.542566256,0.711088175,0.335752258,0.351717031,,,,,,,,
